mV','seconds'
0.03,0.27
0.025,0.272
0.025,0.274
0.025,0.276
0.025,0.278
0.03,0.28
0.03,0.282
0.035,0.284
0.04,0.286
0.045,0.288
0.05,0.29
0.05,0.292
0.05,0.294
0.05,0.296
0.055,0.298
0.055,0.3
0.06,0.302
0.06,0.304
0.065,0.306
0.065,0.308
0.07,0.31
0.07,0.312
0.07,0.314
0.07,0.316
0.07,0.318
0.065,0.32
0.065,0.322
0.065,0.324
0.06,0.326
0.06,0.328
0.06,0.33
0.065,0.332
0.065,0.334
0.07,0.336
0.07,0.338
0.07,0.34
0.075,0.342
0.075,0.344
0.075,0.346
0.075,0.348
0.07,0.35
0.07,0.352
0.07,0.354
0.07,0.356
0.065,0.358
0.065,0.36
0.065,0.362
0.065,0.364
0.065,0.366
0.065,0.368
0.06,0.37
0.06,0.372
0.06,0.374
0.065,0.376
0.065,0.378
0.065,0.38
0.07,0.382
0.07,0.384
0.075,0.386
0.075,0.388
0.075,0.39
0.075,0.392
0.07,0.394
0.07,0.396
0.065,0.398
0.065,0.4
0.06,0.402
0.055,0.404
0.055,0.406
0.055,0.408
0.05,0.41
0.05,0.412
0.05,0.414
0.05,0.416
0.05,0.418
0.045,0.42
0.045,0.422
0.045,0.424
0.04,0.426
0.035,0.428
0.035,0.43
0.03,0.432
0.03,0.434
0.025,0.436
0.025,0.438
0.03,0.44
0.03,0.442
0.035,0.444
0.04,0.446
0.045,0.448
0.045,0.45
0.045,0.452
0.045,0.454
0.045,0.456
0.045,0.458
0.045,0.46
0.045,0.462
0.05,0.464
0.05,0.466
0.05,0.468
0.05,0.47
0.045,0.472
0.04,0.474
0.035,0.476
0.03,0.478
0.02,0.48
0.02,0.482
0.02,0.484
0.02,0.486
0.025,0.488
0.035,0.49
0.04,0.492
0.04,0.494
0.045,0.496
0.045,0.498
0.04,0.5
0.035,0.502
0.03,0.504
0.025,0.506
0.025,0.508
0.03,0.51
0.03,0.512
0.035,0.514
0.045,0.516
0.05,0.518
0.055,0.52
0.06,0.522
0.06,0.524
0.06,0.526
0.065,0.528
0.06,0.53
0.06,0.532
0.06,0.534
0.055,0.536
0.055,0.538
0.05,0.54
0.045,0.542
0.045,0.544
0.04,0.546
0.045,0.548
0.05,0.55
0.055,0.552
0.06,0.554
0.07,0.556
0.075,0.558
0.08,0.56
0.085,0.562
0.08,0.564
0.075,0.566
0.07,0.568
0.065,0.57
0.055,0.572
0.05,0.574
0.045,0.576
0.04,0.578
0.04,0.58
0.035,0.582
0.03,0.584
0.02,0.586
0.015,0.588
0.01,0.59
0.01,0.592
0.005,0.594
0.005,0.596
0.01,0.598
0.015,0.6
0.015,0.602
0.02,0.604
0.02,0.606
0.02,0.608
0.02,0.61
0.02,0.612
0.015,0.614
0.015,0.616
0.015,0.618
0.01,0.62
0.01,0.622
0.005,0.624
0.005,0.626
0,0.628
-0.005,0.63
-0.01,0.632
-0.01,0.634
-0.01,0.636
-0.01,0.638
-0.01,0.64
-0.01,0.642
-0.01,0.644
-0.01,0.646
-0.015,0.648
-0.015,0.65
-0.02,0.652
-0.025,0.654
-0.03,0.656
-0.03,0.658
-0.03,0.66
-0.03,0.662
-0.03,0.664
-0.025,0.666
-0.025,0.668
-0.03,0.67
-0.035,0.672
-0.04,0.674
-0.045,0.676
-0.045,0.678
-0.035,0.68
-0.015,0.682
0.025,0.684
0.075,0.686
0.14,0.688
0.22,0.69
0.305,0.692
0.39,0.694
0.47,0.696
0.535,0.698
0.59,0.7
0.62,0.702
0.625,0.704
0.6,0.706
0.555,0.708
0.485,0.71
0.395,0.712
0.295,0.714
0.19,0.716
0.09,0.718
0,0.72
-0.07,0.722
-0.12,0.724
-0.145,0.726
-0.15,0.728
-0.14,0.73
-0.115,0.732
-0.09,0.734
-0.06,0.736
-0.04,0.738
-0.025,0.74
-0.015,0.742
-0.015,0.744
-0.02,0.746
-0.025,0.748
-0.035,0.75
-0.035,0.752
-0.04,0.754
-0.04,0.756
-0.04,0.758
-0.04,0.76
-0.035,0.762
-0.035,0.764
-0.035,0.766
-0.04,0.768
-0.04,0.77
-0.04,0.772
-0.045,0.774
-0.045,0.776
-0.045,0.778
-0.045,0.78
-0.045,0.782
-0.045,0.784
-0.04,0.786
-0.04,0.788
-0.035,0.79
-0.03,0.792
-0.03,0.794
-0.025,0.796
-0.025,0.798
-0.025,0.8
-0.025,0.802
-0.025,0.804
-0.025,0.806
-0.025,0.808
-0.025,0.81
-0.03,0.812
-0.03,0.814
-0.03,0.816
-0.03,0.818
-0.025,0.82
-0.025,0.822
-0.02,0.824
-0.02,0.826
-0.015,0.828
-0.01,0.83
-0.01,0.832
-0.01,0.834
-0.01,0.836
-0.01,0.838
-0.01,0.84
-0.01,0.842
-0.01,0.844
-0.01,0.846
-0.005,0.848
0,0.85
0.005,0.852
0.01,0.854
0.015,0.856
0.02,0.858
0.025,0.86
0.025,0.862
0.03,0.864
0.03,0.866
0.035,0.868
0.04,0.87
0.045,0.872
0.05,0.874
0.055,0.876
0.065,0.878
0.07,0.88
0.07,0.882
0.075,0.884
0.075,0.886
0.075,0.888
0.075,0.89
0.075,0.892
0.08,0.894
0.085,0.896
0.09,0.898
0.095,0.9
0.105,0.902
0.115,0.904
0.12,0.906
0.13,0.908
0.135,0.91
0.14,0.912
0.14,0.914
0.145,0.916
0.145,0.918
0.145,0.92
0.145,0.922
0.145,0.924
0.15,0.926
0.15,0.928
0.155,0.93
0.16,0.932
0.165,0.934
0.17,0.936
0.175,0.938
0.175,0.94
0.17,0.942
0.165,0.944
0.155,0.946
0.14,0.948
0.13,0.95
0.12,0.952
0.115,0.954
0.11,0.956
0.105,0.958
0.1,0.96
0.095,0.962
0.085,0.964
0.075,0.966
0.06,0.968
0.045,0.97
0.03,0.972
0.015,0.974
0.005,0.976
-0.005,0.978
-0.005,0.98
-0.005,0.982
-0.005,0.984
-0.005,0.986
-0.005,0.988
-0.01,0.99
-0.015,0.992
-0.025,0.994
-0.035,0.996
-0.04,0.998
-0.045,1
-0.05,1.002
-0.05,1.004
-0.05,1.006
-0.045,1.008
-0.05,1.01
-0.05,1.012
-0.055,1.014
-0.06,1.016
-0.07,1.018
-0.075,1.02
-0.075,1.022
-0.08,1.024
-0.08,1.026
-0.075,1.028
-0.07,1.03
-0.065,1.032
-0.06,1.034
-0.06,1.036
-0.055,1.038
-0.055,1.04
-0.055,1.042
-0.055,1.044
-0.055,1.046
-0.055,1.048
-0.055,1.05
-0.055,1.052
-0.055,1.054
-0.06,1.056
-0.06,1.058
-0.065,1.06
-0.065,1.062
-0.065,1.064
-0.065,1.066
-0.06,1.068
-0.06,1.07
-0.055,1.072
-0.055,1.074
-0.055,1.076
-0.05,1.078
-0.055,1.08
-0.055,1.082
-0.055,1.084
-0.06,1.086
-0.06,1.088
-0.06,1.09
-0.06,1.092
-0.06,1.094
-0.06,1.096
-0.065,1.098
-0.065,1.1
-0.065,1.102
-0.07,1.104
-0.07,1.106
-0.07,1.108
-0.07,1.11
-0.065,1.112
-0.065,1.114
-0.06,1.116
-0.055,1.118
-0.055,1.12
-0.05,1.122
-0.055,1.124
-0.055,1.126
-0.055,1.128
-0.06,1.13
-0.06,1.132
-0.06,1.134
-0.06,1.136
-0.055,1.138
-0.055,1.14
-0.05,1.142
-0.045,1.144
-0.04,1.146
-0.04,1.148
-0.035,1.15
-0.035,1.152
-0.035,1.154
-0.035,1.156
-0.035,1.158
-0.035,1.16
-0.035,1.162
-0.035,1.164
-0.035,1.166
-0.03,1.168
-0.03,1.17
-0.03,1.172
-0.035,1.174
-0.035,1.176
-0.035,1.178
-0.04,1.18
-0.045,1.182
-0.045,1.184
-0.05,1.186
-0.05,1.188
-0.05,1.19
-0.05,1.192
-0.05,1.194
-0.05,1.196
-0.05,1.198
-0.05,1.2
-0.05,1.202
-0.055,1.204
-0.055,1.206
-0.06,1.208
-0.06,1.21
-0.065,1.212
-0.065,1.214
-0.065,1.216
-0.06,1.218
-0.06,1.22
-0.06,1.222
-0.06,1.224
-0.06,1.226
-0.06,1.228
-0.06,1.23
-0.06,1.232
-0.06,1.234
-0.06,1.236
-0.06,1.238
-0.06,1.24
-0.055,1.242
-0.05,1.244
-0.05,1.246
-0.045,1.248
-0.045,1.25
-0.04,1.252
-0.04,1.254
-0.04,1.256
-0.035,1.258
-0.035,1.26
-0.03,1.262
-0.03,1.264
-0.025,1.266
-0.025,1.268
-0.02,1.27
-0.02,1.272
-0.02,1.274
-0.02,1.276
-0.02,1.278
-0.02,1.28
-0.02,1.282
-0.025,1.284
-0.025,1.286
-0.03,1.288
-0.03,1.29
-0.035,1.292
-0.035,1.294
-0.035,1.296
-0.03,1.298
-0.03,1.3
-0.025,1.302
-0.015,1.304
-0.01,1.306
-0.005,1.308
0,1.31
0,1.312
0,1.314
0,1.316
-0.005,1.318
-0.01,1.32
-0.015,1.322
-0.02,1.324
-0.025,1.326
-0.03,1.328
-0.035,1.33
-0.04,1.332
-0.045,1.334
-0.055,1.336
-0.06,1.338
-0.07,1.34
-0.075,1.342
-0.08,1.344
-0.08,1.346
-0.08,1.348
-0.08,1.35
-0.075,1.352
-0.075,1.354
-0.075,1.356
-0.075,1.358
-0.075,1.36
-0.075,1.362
-0.075,1.364
-0.075,1.366
-0.075,1.368
-0.075,1.37
-0.075,1.372
-0.075,1.374
-0.08,1.376
-0.08,1.378
-0.085,1.38
-0.09,1.382
-0.095,1.384
-0.095,1.386
-0.095,1.388
-0.095,1.39
-0.09,1.392
-0.085,1.394
-0.085,1.396
-0.085,1.398
-0.085,1.4
-0.09,1.402
-0.095,1.404
-0.1,1.406
-0.105,1.408
-0.105,1.41
-0.105,1.412
-0.105,1.414
-0.105,1.416
-0.105,1.418
-0.11,1.42
-0.115,1.422
-0.125,1.424
-0.13,1.426
-0.13,1.428
-0.12,1.43
-0.095,1.432
-0.055,1.434
-0.005,1.436
0.06,1.438
0.14,1.44
0.225,1.442
0.31,1.444
0.395,1.446
0.47,1.448
0.53,1.45
0.575,1.452
0.595,1.454
0.59,1.456
0.555,1.458
0.495,1.46
0.41,1.462
0.31,1.464
0.2,1.466
0.085,1.468
-0.015,1.47
-0.095,1.472
-0.15,1.474
-0.18,1.476
-0.185,1.478
-0.17,1.48
-0.14,1.482
-0.11,1.484
-0.08,1.486
-0.06,1.488
-0.055,1.49
-0.055,1.492
-0.065,1.494
-0.075,1.496
-0.085,1.498
-0.095,1.5
-0.1,1.502
-0.1,1.504
-0.095,1.506
-0.09,1.508
-0.085,1.51
-0.085,1.512
-0.08,1.514
-0.08,1.516
-0.08,1.518
-0.08,1.52
-0.08,1.522
-0.08,1.524
-0.075,1.526
-0.07,1.528
-0.07,1.53
-0.065,1.532
-0.065,1.534
-0.065,1.536
-0.07,1.538
-0.07,1.54
-0.07,1.542
-0.065,1.544
-0.065,1.546
-0.06,1.548
-0.055,1.55
-0.05,1.552
-0.045,1.554
-0.045,1.556
-0.04,1.558
-0.04,1.56
-0.035,1.562
-0.035,1.564
-0.03,1.566
-0.025,1.568
-0.025,1.57
-0.02,1.572
-0.015,1.574
-0.015,1.576
-0.015,1.578
-0.015,1.58
-0.02,1.582
-0.02,1.584
-0.02,1.586
-0.02,1.588
-0.02,1.59
-0.015,1.592
-0.01,1.594
-0.005,1.596
0.005,1.598
0.01,1.6
0.015,1.602
0.02,1.604
0.02,1.606
0.02,1.608
0.02,1.61
0.02,1.612
0.015,1.614
0.015,1.616
0.01,1.618
0.01,1.62
0.015,1.622
0.02,1.624
0.025,1.626
0.035,1.628
0.045,1.63
0.06,1.632
0.07,1.634
0.075,1.636
0.085,1.638
0.09,1.64
0.095,1.642
0.1,1.644
0.105,1.646
0.11,1.648
0.115,1.65
0.125,1.652
0.13,1.654
0.14,1.656
0.145,1.658
0.155,1.66
0.16,1.662
0.16,1.664
0.165,1.666
0.165,1.668
0.165,1.67
0.17,1.672
0.175,1.674
0.175,1.676
0.175,1.678
0.175,1.68
0.175,1.682
0.17,1.684
0.165,1.686
0.155,1.688
0.15,1.69
0.145,1.692
0.14,1.694
0.14,1.696
0.14,1.698
0.14,1.7
0.14,1.702
0.135,1.704
0.13,1.706
0.12,1.708
0.11,1.71
0.09,1.712
0.075,1.714
0.06,1.716
0.045,1.718
0.035,1.72
0.03,1.722
0.03,1.724
0.025,1.726
0.025,1.728
0.02,1.73
0.02,1.732
0.01,1.734
0,1.736
-0.01,1.738
-0.02,1.74
-0.03,1.742
-0.035,1.744
-0.04,1.746
-0.045,1.748
-0.045,1.75
-0.045,1.752
-0.045,1.754
-0.05,1.756
-0.05,1.758
-0.055,1.76
-0.06,1.762
-0.06,1.764
-0.065,1.766
-0.065,1.768
-0.07,1.77
-0.07,1.772
-0.065,1.774
-0.065,1.776
-0.06,1.778
-0.06,1.78
-0.06,1.782
-0.055,1.784
-0.055,1.786
-0.06,1.788
-0.06,1.79
-0.06,1.792
-0.06,1.794
-0.06,1.796
-0.06,1.798
-0.065,1.8
-0.065,1.802
-0.065,1.804
-0.065,1.806
-0.065,1.808
-0.07,1.81
-0.07,1.812
-0.07,1.814
-0.075,1.816
-0.075,1.818
-0.08,1.82
-0.085,1.822
-0.09,1.824
-0.09,1.826
-0.095,1.828
-0.095,1.83
-0.095,1.832
-0.09,1.834
-0.085,1.836
-0.08,1.838
-0.075,1.84
-0.07,1.842
-0.065,1.844
-0.065,1.846
-0.065,1.848
-0.065,1.85
-0.065,1.852
-0.07,1.854
-0.07,1.856
-0.07,1.858
-0.065,1.86
-0.065,1.862
-0.06,1.864
-0.06,1.866
-0.055,1.868
-0.055,1.87
-0.06,1.872
-0.06,1.874
-0.065,1.876
-0.065,1.878
-0.07,1.88
-0.07,1.882
-0.075,1.884
-0.075,1.886
-0.075,1.888
-0.075,1.89
-0.075,1.892
-0.075,1.894
-0.075,1.896
-0.075,1.898
-0.075,1.9
-0.08,1.902
-0.08,1.904
-0.08,1.906
-0.08,1.908
-0.08,1.91
-0.08,1.912
-0.08,1.914
-0.08,1.916
-0.08,1.918
-0.08,1.92
-0.08,1.922
-0.08,1.924
-0.085,1.926
-0.085,1.928
-0.085,1.93
-0.085,1.932
-0.09,1.934
-0.09,1.936
-0.095,1.938
-0.095,1.94
-0.1,1.942
-0.1,1.944
-0.1,1.946
-0.1,1.948
-0.1,1.95
-0.1,1.952
-0.1,1.954
-0.1,1.956
-0.1,1.958
-0.1,1.96
-0.105,1.962
-0.105,1.964
-0.11,1.966
-0.11,1.968
-0.11,1.97
-0.115,1.972
-0.115,1.974
-0.115,1.976
-0.115,1.978
-0.115,1.98
-0.115,1.982
-0.115,1.984
-0.115,1.986
-0.115,1.988
-0.11,1.99
-0.11,1.992
-0.11,1.994
-0.105,1.996
-0.105,1.998
-0.105,2
-0.11,2.002
-0.11,2.004
-0.115,2.006
-0.12,2.008
-0.12,2.01
-0.125,2.012
-0.12,2.014
-0.12,2.016
-0.11,2.018
-0.105,2.02
-0.1,2.022
-0.095,2.024
-0.09,2.026
-0.095,2.028
-0.1,2.03
-0.105,2.032
-0.11,2.034
-0.115,2.036
-0.12,2.038
-0.12,2.04
-0.12,2.042
-0.12,2.044
-0.115,2.046
-0.115,2.048
-0.115,2.05
-0.115,2.052
-0.11,2.054
-0.11,2.056
-0.105,2.058
-0.095,2.06
-0.085,2.062
-0.07,2.064
-0.055,2.066
-0.04,2.068
-0.025,2.07
-0.01,2.072
0,2.074
0.005,2.076
0.01,2.078
0.015,2.08
0.015,2.082
0.015,2.084
0.015,2.086
0.02,2.088
0.02,2.09
0.025,2.092
0.03,2.094
0.04,2.096
0.045,2.098
0.05,2.1
0.06,2.102
0.065,2.104
0.07,2.106
0.075,2.108
0.08,2.11
0.08,2.112
0.08,2.114
0.085,2.116
0.085,2.118
0.085,2.12
0.085,2.122
0.08,2.124
0.08,2.126
0.08,2.128
0.075,2.13
0.075,2.132
0.07,2.134
0.065,2.136
0.065,2.138
0.06,2.14
0.055,2.142
0.055,2.144
0.05,2.146
0.045,2.148
0.04,2.15
0.04,2.152
0.035,2.154
0.03,2.156
0.03,2.158
0.03,2.16
0.03,2.162
0.03,2.164
0.035,2.166
0.035,2.168
0.035,2.17
0.035,2.172
0.03,2.174
0.025,2.176
0.02,2.178
0.015,2.18
0.01,2.182
0.005,2.184
0,2.186
-0.005,2.188
-0.005,2.19
-0.005,2.192
-0.005,2.194
-0.005,2.196
0,2.198
0,2.2
0.005,2.202
0.005,2.204
0.01,2.206
0.01,2.208
0.005,2.21
0.005,2.212
0.005,2.214
0,2.216
0,2.218
0,2.22
0,2.222
-0.005,2.224
-0.005,2.226
-0.005,2.228
-0.01,2.23
-0.02,2.232
-0.025,2.234
-0.035,2.236
-0.04,2.238
-0.045,2.24
-0.04,2.242
-0.025,2.244
0,2.246
0.04,2.248
0.09,2.25
0.155,2.252
0.23,2.254
0.31,2.256
0.4,2.258
0.49,2.26
0.575,2.262
0.65,2.264
0.705,2.266
0.735,2.268
0.735,2.27
0.705,2.272
0.64,2.274
0.55,2.276
0.44,2.278
0.32,2.28
0.205,2.282
0.1,2.284
0.015,2.286
-0.045,2.288
-0.075,2.29
-0.085,2.292
-0.075,2.294
-0.055,2.296
-0.035,2.298
-0.01,2.3
0.005,2.302
0.01,2.304
0.015,2.306
0.015,2.308
0.015,2.31
0.015,2.312
0.02,2.314
0.025,2.316
0.03,2.318
0.03,2.32
0.035,2.322
0.035,2.324
0.03,2.326
0.025,2.328
0.02,2.33
0.015,2.332
0.01,2.334
0.01,2.336
0.015,2.338
0.02,2.34
0.025,2.342
0.03,2.344
0.03,2.346
0.035,2.348
0.03,2.35
0.03,2.352
0.025,2.354
0.025,2.356
0.025,2.358
0.02,2.36
0.02,2.362
0.02,2.364
0.02,2.366
0.02,2.368
0.02,2.37
0.02,2.372
0.02,2.374
0.02,2.376
0.02,2.378
0.025,2.38
0.025,2.382
0.03,2.384
0.035,2.386
0.04,2.388
0.04,2.39
0.045,2.392
0.045,2.394
0.045,2.396
0.045,2.398
0.045,2.4
0.04,2.402
0.04,2.404
0.04,2.406
0.045,2.408
0.045,2.41
0.045,2.412
0.05,2.414
0.05,2.416
0.05,2.418
0.055,2.42
0.055,2.422
0.06,2.424
0.065,2.426
0.07,2.428
0.075,2.43
0.08,2.432
0.085,2.434
0.09,2.436
0.09,2.438
0.095,2.44
0.095,2.442
0.095,2.444
0.1,2.446
0.105,2.448
0.11,2.45
0.12,2.452
0.13,2.454
0.14,2.456
0.15,2.458
0.165,2.46
0.17,2.462
0.18,2.464
0.185,2.466
0.185,2.468
0.19,2.47
0.19,2.472
0.19,2.474
0.19,2.476
0.19,2.478
0.195,2.48
0.2,2.482
0.205,2.484
0.205,2.486
0.21,2.488
0.215,2.49
0.215,2.492
0.215,2.494
0.21,2.496
0.205,2.498
0.2,2.5
0.195,2.502
0.19,2.504
0.185,2.506
0.185,2.508
0.18,2.51
0.175,2.512
0.17,2.514
0.16,2.516
0.15,2.518
0.135,2.52
0.12,2.522
0.105,2.524
0.09,2.526
0.075,2.528
0.065,2.53
0.055,2.532
0.05,2.534
0.045,2.536
0.045,2.538
0.04,2.54
0.03,2.542
0.025,2.544
0.015,2.546
0.005,2.548
-0.005,2.55
-0.015,2.552
-0.02,2.554
-0.025,2.556
-0.03,2.558
-0.03,2.56
-0.035,2.562
-0.035,2.564
-0.04,2.566
-0.05,2.568
-0.055,2.57
-0.06,2.572
-0.065,2.574
-0.065,2.576
-0.065,2.578
-0.065,2.58
-0.06,2.582
-0.06,2.584
-0.06,2.586
-0.065,2.588
-0.07,2.59
-0.075,2.592
-0.08,2.594
-0.09,2.596
-0.09,2.598
-0.09,2.6
-0.09,2.602
-0.085,2.604
-0.08,2.606
-0.075,2.608
-0.075,2.61
-0.075,2.612
-0.08,2.614
-0.085,2.616
-0.09,2.618
-0.095,2.62
-0.1,2.622
-0.1,2.624
-0.1,2.626
-0.1,2.628
-0.09,2.63
-0.085,2.632
-0.075,2.634
-0.07,2.636
-0.065,2.638
-0.06,2.64
-0.065,2.642
-0.065,2.644
-0.07,2.646
-0.075,2.648
-0.08,2.65
-0.085,2.652
-0.085,2.654
-0.09,2.656
-0.09,2.658
-0.09,2.66
-0.085,2.662
-0.085,2.664
-0.08,2.666
-0.08,2.668
-0.075,2.67
-0.075,2.672
-0.07,2.674
-0.07,2.676
-0.07,2.678
-0.07,2.68
-0.075,2.682
-0.075,2.684
-0.08,2.686
-0.085,2.688
-0.085,2.69
-0.085,2.692
-0.085,2.694
-0.085,2.696
-0.08,2.698
-0.08,2.7
-0.075,2.702
-0.075,2.704
-0.075,2.706
-0.075,2.708
-0.075,2.71
-0.08,2.712
-0.08,2.714
-0.08,2.716
-0.08,2.718
-0.08,2.72
-0.08,2.722
-0.08,2.724
-0.08,2.726
-0.085,2.728
-0.09,2.73
-0.09,2.732
-0.095,2.734
-0.095,2.736
-0.1,2.738
-0.1,2.74
-0.1,2.742
-0.095,2.744
-0.095,2.746
-0.095,2.748
-0.09,2.75
-0.09,2.752
-0.09,2.754
-0.09,2.756
-0.09,2.758
-0.095,2.76
-0.095,2.762
-0.095,2.764
-0.09,2.766
-0.09,2.768
-0.085,2.77
-0.08,2.772
-0.075,2.774
-0.07,2.776
-0.07,2.778
-0.065,2.78
-0.065,2.782
-0.065,2.784
-0.07,2.786
-0.075,2.788
-0.08,2.79
-0.09,2.792
-0.095,2.794
-0.095,2.796
-0.1,2.798
-0.095,2.8
-0.095,2.802
-0.09,2.804
-0.08,2.806
-0.08,2.808
-0.075,2.81
-0.075,2.812
-0.075,2.814
-0.08,2.816
-0.085,2.818
-0.085,2.82
-0.09,2.822
-0.095,2.824
-0.095,2.826
-0.095,2.828
-0.095,2.83
-0.095,2.832
-0.095,2.834
-0.095,2.836
-0.095,2.838
-0.1,2.84
-0.1,2.842
-0.1,2.844
-0.1,2.846
-0.1,2.848
-0.1,2.85
-0.1,2.852
-0.1,2.854
-0.1,2.856
-0.095,2.858
-0.095,2.86
-0.095,2.862
-0.09,2.864
-0.085,2.866
-0.085,2.868
-0.08,2.87
-0.075,2.872
-0.075,2.874
-0.07,2.876
-0.07,2.878
-0.075,2.88
-0.075,2.882
-0.08,2.884
-0.085,2.886
-0.09,2.888
-0.09,2.89
-0.09,2.892
-0.09,2.894
-0.09,2.896
-0.085,2.898
-0.085,2.9
-0.08,2.902
-0.08,2.904
-0.08,2.906
-0.08,2.908
-0.08,2.91
-0.08,2.912
-0.085,2.914
-0.085,2.916
-0.085,2.918
-0.08,2.92
-0.08,2.922
-0.08,2.924
-0.075,2.926
-0.075,2.928
-0.07,2.93
-0.07,2.932
-0.065,2.934
-0.065,2.936
-0.065,2.938
-0.065,2.94
-0.065,2.942
-0.065,2.944
-0.07,2.946
-0.075,2.948
-0.08,2.95
-0.08,2.952
-0.085,2.954
-0.085,2.956
-0.085,2.958
-0.08,2.96
-0.075,2.962
-0.075,2.964
-0.07,2.966
-0.07,2.968
-0.07,2.97
-0.07,2.972
-0.07,2.974
-0.07,2.976
-0.07,2.978
-0.065,2.98
-0.065,2.982
-0.06,2.984
-0.06,2.986
-0.055,2.988
-0.055,2.99
-0.055,2.992
-0.055,2.994
-0.055,2.996
-0.055,2.998
-0.055,3
-0.055,3.002
-0.055,3.004
-0.05,3.006
-0.05,3.008
-0.045,3.01
-0.045,3.012
-0.04,3.014
-0.04,3.016
-0.035,3.018
-0.03,3.02
-0.025,3.022
-0.02,3.024
-0.02,3.026
-0.015,3.028
-0.01,3.03
-0.005,3.032
-0.005,3.034
-0.005,3.036
-0.005,3.038
-0.005,3.04
-0.005,3.042
-0.01,3.044
-0.01,3.046
-0.01,3.048
-0.01,3.05
-0.01,3.052
-0.01,3.054
-0.01,3.056
-0.01,3.058
-0.015,3.06
-0.015,3.062
-0.02,3.064
-0.025,3.066
-0.03,3.068
-0.04,3.07
-0.045,3.072
-0.055,3.074
-0.06,3.076
-0.07,3.078
-0.075,3.08
-0.075,3.082
-0.08,3.084
-0.08,3.086
-0.075,3.088
-0.07,3.09
-0.07,3.092
-0.065,3.094
-0.06,3.096
-0.06,3.098
-0.055,3.1
-0.055,3.102
-0.06,3.104
-0.06,3.106
-0.065,3.108
-0.065,3.11
-0.07,3.112
-0.075,3.114
-0.075,3.116
-0.08,3.118
-0.085,3.12
-0.085,3.122
-0.085,3.124
-0.085,3.126
-0.085,3.128
-0.085,3.13
-0.085,3.132
-0.085,3.134
-0.085,3.136
-0.085,3.138
-0.085,3.14
-0.085,3.142
-0.08,3.144
-0.08,3.146
-0.075,3.148
-0.075,3.15
-0.07,3.152
-0.07,3.154
-0.07,3.156
-0.075,3.158
-0.08,3.16
-0.085,3.162
-0.09,3.164
-0.095,3.166
-0.095,3.168
-0.09,3.17
-0.08,3.172
-0.06,3.174
-0.03,3.176
0.015,3.178
0.07,3.18
0.135,3.182
0.215,3.184
0.305,3.186
0.395,3.188
0.485,3.19
0.56,3.192
0.625,3.194
0.665,3.196
0.67,3.198
0.65,3.2
0.59,3.202
0.505,3.204
0.4,3.206
0.28,3.208
0.165,3.21
0.055,3.212
-0.035,3.214
-0.1,3.216
-0.135,3.218
-0.15,3.22
-0.15,3.222
-0.135,3.224
-0.11,3.226
-0.09,3.228
-0.075,3.23
-0.06,3.232
-0.05,3.234
-0.045,3.236
-0.045,3.238
-0.04,3.24
-0.035,3.242
-0.03,3.244
-0.025,3.246
-0.02,3.248
-0.015,3.25
-0.015,3.252
-0.015,3.254
-0.02,3.256
-0.02,3.258
